% ======================================================
% L-Bracket Method of Moments Solution
% ======================================================
% Frequency: 7.400 GHz
% Wavelength: 0.040513 m
% Segments: N=2470 (1235 horiz + 1235 vert)
% Transmitter: (25.0000, 25.0000) m
%
% Solver: SSOR with hierarchical omega
% omega = 0.1080
% iterations = 354
% convergence = 9.94e-10
% time = 155.14 seconds
% ======================================================
% Format: (real, imaginary) current coefficients
% ======================================================
( 5.38202030e-07, 1.21144585e-06)
( 2.14412904e-06, 4.75454566e-06)
( 3.63774985e-06, 8.05665628e-06)
( 5.12059313e-06, 1.13358906e-05)
( 6.59034855e-06, 1.45868593e-05)
( 8.04541170e-06, 1.78058742e-05)
( 9.48347686e-06, 2.09877712e-05)
( 1.09020057e-05, 2.41269074e-05)
( 1.22983750e-05, 2.72174615e-05)
( 1.36699402e-05, 3.02535710e-05)
( 1.50140700e-05, 3.32294031e-05)
( 1.63281652e-05, 3.61391967e-05)
( 1.76096725e-05, 3.89772905e-05)
( 1.88560943e-05, 4.17381451e-05)
( 2.00649966e-05, 4.44163593e-05)
( 2.12340153e-05, 4.70066857e-05)
( 2.23608628e-05, 4.95040432e-05)
( 2.34433328e-05, 5.19035293e-05)
( 2.44793058e-05, 5.42004307e-05)
( 2.54667533e-05, 5.63902343e-05)
( 2.64037421e-05, 5.84686362e-05)
( 2.72884388e-05, 6.04315509e-05)
( 2.81191131e-05, 6.22751201e-05)
( 2.88941415e-05, 6.39957203e-05)
( 2.96120107e-05, 6.55899702e-05)
( 3.02713206e-05, 6.70547382e-05)
( 3.08707870e-05, 6.83871478e-05)
( 3.14092443e-05, 6.95845841e-05)
( 3.18856478e-05, 7.06446990e-05)
( 3.22990755e-05, 7.15654157e-05)
( 3.26487304e-05, 7.23449330e-05)
( 3.29339417e-05, 7.29817288e-05)
( 3.31541662e-05, 7.34745635e-05)
( 3.33089894e-05, 7.38224819e-05)
( 3.33981261e-05, 7.40248158e-05)
( 3.34214213e-05, 7.40811847e-05)
( 3.33788502e-05, 7.39914968e-05)
( 3.32705181e-05, 7.37559495e-05)
( 3.30966605e-05, 7.33750285e-05)
( 3.28576425e-05, 7.28495070e-05)
( 3.25539576e-05, 7.21804444e-05)
( 3.21862275e-05, 7.13691838e-05)
( 3.17551999e-05, 7.04173495e-05)
( 3.12617479e-05, 6.93268438e-05)
( 3.07068674e-05, 6.80998434e-05)
( 3.00916758e-05, 6.67387945e-05)
( 2.94174091e-05, 6.52464083e-05)
( 2.86854199e-05, 6.36256558e-05)
( 2.78971747e-05, 6.18797614e-05)
( 2.70542504e-05, 6.00121969e-05)
( 2.61583319e-05, 5.80266743e-05)
( 2.52112081e-05, 5.59271386e-05)
( 2.42147688e-05, 5.37177597e-05)
( 2.31710007e-05, 5.14029247e-05)
( 2.20819834e-05, 4.89872283e-05)
( 2.09498853e-05, 4.64754645e-05)
( 1.97769595e-05, 4.38726165e-05)
( 1.85655390e-05, 4.11838471e-05)
( 1.73180325e-05, 3.84144884e-05)
( 1.60369190e-05, 3.55700309e-05)
( 1.47247435e-05, 3.26561133e-05)
( 1.33841115e-05, 2.96785105e-05)
( 1.20176843e-05, 2.66431227e-05)
( 1.06281733e-05, 2.35559633e-05)
( 9.21833488e-06, 2.04231475e-05)
( 7.79096491e-06, 1.72508795e-05)
( 6.34889322e-06, 1.40454408e-05)
( 4.89497802e-06, 1.08131773e-05)
( 3.43210029e-06, 7.56048705e-06)
( 1.96315807e-06, 4.29380726e-06)
( 4.91060756e-07, 1.01960186e-06)
(-9.81276606e-07,-2.25565150e-06)
(-2.45093906e-06,-5.52547421e-06)
(-3.91501749e-06,-8.78339955e-06)
(-5.37061431e-06,-1.20229855e-05)
(-6.81484916e-06,-1.52378273e-05)
(-8.24486457e-06,-1.84215706e-05)
(-9.65783158e-06,-2.15679234e-05)
(-1.10509552e-05,-2.46706690e-05)
(-1.24214801e-05,-2.77236779e-05)
(-1.37666957e-05,-3.07209201e-05)
(-1.50839417e-05,-3.36564773e-05)
(-1.63706133e-05,-3.65245538e-05)
(-1.76241660e-05,-3.93194888e-05)
(-1.88421210e-05,-4.20357670e-05)
(-2.00220699e-05,-4.46680297e-05)
(-2.11616790e-05,-4.72110853e-05)
(-2.22586945e-05,-4.96599196e-05)
(-2.33109464e-05,-5.20097056e-05)
(-2.43163531e-05,-5.42558128e-05)
(-2.52729250e-05,-5.63938170e-05)
(-2.61787688e-05,-5.84195080e-05)
(-2.70320911e-05,-6.03288989e-05)
(-2.78312017e-05,-6.21182329e-05)
(-2.85745169e-05,-6.37839916e-05)
(-2.92605630e-05,-6.53229014e-05)
(-2.98879783e-05,-6.67319398e-05)
(-3.04555168e-05,-6.80083417e-05)
(-3.09620498e-05,-6.91496046e-05)
(-3.14065683e-05,-7.01534933e-05)
(-3.17881852e-05,-7.10180446e-05)
(-3.21061367e-05,-7.17415709e-05)
(-3.23597838e-05,-7.23226635e-05)
(-3.25486139e-05,-7.27601954e-05)
(-3.26722412e-05,-7.30533231e-05)
(-3.27304079e-05,-7.32014888e-05)
(-3.27229843e-05,-7.32044208e-05)
(-3.26499695e-05,-7.30621346e-05)
(-3.25114909e-05,-7.27749320e-05)
(-3.23078043e-05,-7.23434012e-05)
(-3.20392932e-05,-7.17684152e-05)
(-3.17064680e-05,-7.10511300e-05)
(-3.13099651e-05,-7.01929824e-05)
(-3.08505456e-05,-6.91956868e-05)
(-3.03290938e-05,-6.80612321e-05)
(-2.97466156e-05,-6.67918775e-05)
(-2.91042361e-05,-6.53901480e-05)
(-2.84031981e-05,-6.38588295e-05)
(-2.76448588e-05,-6.22009629e-05)
(-2.68306879e-05,-6.04198384e-05)
(-2.59622644e-05,-5.85189887e-05)
(-2.50412736e-05,-5.65021823e-05)
(-2.40695035e-05,-5.43734155e-05)
(-2.30488419e-05,-5.21369050e-05)
(-2.19812721e-05,-4.97970790e-05)
(-2.08688697e-05,-4.73585690e-05)
(-1.97137977e-05,-4.48262002e-05)
(-1.85183032e-05,-4.22049820e-05)
(-1.72847123e-05,-3.95000984e-05)
(-1.60154260e-05,-3.67168972e-05)
(-1.47129155e-05,-3.38608800e-05)
(-1.33797170e-05,-3.09376909e-05)
(-1.20184272e-05,-2.79531056e-05)
(-1.06316980e-05,-2.49130198e-05)
