freq_GHz,N_segments,memory_MB,omega,iterations,conv_error,peak_current,mean_current,field_max,field_mean,field_shadow,complexity
5.8,1936,57.19,0.100000,365,9.9400e-10,4.046163e-04,5.812043e-05,255.00,147.66,177.22,3
5.9,1970,59.22,0.105000,348,9.6100e-10,2.979437e-04,5.769298e-05,255.00,164.02,187.32,nan
6.0,2002,61.16,0.104000,335,9.6600e-10,3.107785e-04,5.696650e-05,255.00,162.79,186.17,6
6.1,2036,63.25,0.100000,318,1.0000e-09,4.062676e-04,5.637294e-05,255.00,161.83,185.30,4
6.2,2070,65.38,0.108000,324,9.8100e-10,4.073034e-04,5.614691e-05,255.00,161.89,185.33,5
6.3,2102,67.42,0.101000,361,9.7300e-10,3.134773e-04,5.585342e-05,255.00,163.85,186.88,5
6.4,2136,69.62,0.108000,350,9.5700e-10,2.831528e-04,5.521841e-05,255.00,165.13,187.90,5
6.5,2170,71.85,0.101000,369,9.9000e-10,3.769070e-04,5.462516e-05,255.00,168.12,190.35,4
6.6,2202,73.99,0.101000,371,9.7600e-10,4.066550e-04,5.434009e-05,255.00,167.22,189.85,4
6.7,2236,76.29,0.101000,378,9.9400e-10,3.269864e-04,5.414993e-05,255.00,167.27,189.96,4
6.8,2270,78.63,0.100000,388,9.7600e-10,2.646142e-04,5.362304e-05,255.00,168.57,191.03,6
6.9,2302,80.86,0.103000,374,9.6900e-10,3.401085e-04,5.305129e-05,255.00,170.10,192.51,3
7.0,2336,83.27,0.104000,368,9.8300e-10,3.971425e-04,5.272015e-05,255.00,172.26,194.48,4
7.1,2370,85.71,0.105000,368,9.9800e-10,3.401385e-04,5.257667e-05,255.00,173.78,195.82,3
7.2,2402,88.04,0.101000,387,9.5400e-10,2.580082e-04,5.217034e-05,255.00,175.15,197.15,7
7.3,2436,90.55,0.102000,378,9.9400e-10,3.086765e-04,5.161666e-05,255.00,176.50,198.54,5
7.4,2470,93.09,0.108000,354,9.9400e-10,3.825446e-04,5.124723e-05,255.00,177.31,199.46,5
7.5,2502,95.52,0.105000,363,9.7100e-10,3.556653e-04,5.110576e-05,255.00,177.73,200.07,5
7.6,2536,98.13,0.105000,366,9.8400e-10,2.616901e-04,5.081096e-05,255.00,179.41,201.77,3
7.7,2570,100.78,0.101000,373,9.8500e-10,2.795963e-04,5.030016e-05,255.00,180.94,203.37,5
7.8,2602,103.31,0.100000,366,9.7700e-10,3.602800e-04,4.990153e-05,255.00,182.32,204.76,2
7.9,2636,106.03,0.101000,355,9.9500e-10,3.610411e-04,4.974933e-05,255.00,183.22,205.84,6
8.0,2670,108.78,0.101000,348,9.7800e-10,2.719286e-04,4.954011e-05,255.00,185.12,207.85,7
8.1,2702,111.40,0.106000,311,9.9400e-10,2.515963e-04,4.909482e-05,255.00,186.69,209.49,5
8.2,2736,114.22,0.101000,340,9.8700e-10,3.365234e-04,4.867760e-05,255.00,188.29,211.15,5
8.3,2770,117.08,0.105000,341,9.8400e-10,3.614465e-04,4.849194e-05,255.00,189.62,212.69,4
8.4,2802,119.80,0.107000,348,9.5200e-10,2.913447e-04,4.834482e-05,255.00,190.24,213.74,6
8.5,2836,122.72,0.106000,360,9.7200e-10,2.363343e-04,4.796572e-05,255.00,191.00,214.82,6
8.6,2870,125.69,0.106000,358,9.7500e-10,3.105584e-04,4.755055e-05,255.00,192.32,216.40,4
8.7,2902,128.50,0.105000,361,9.5800e-10,3.568717e-04,4.731738e-05,255.00,193.91,218.21,4
8.8,2936,131.53,0.101000,378,9.9900e-10,3.051117e-04,4.721488e-05,255.00,195.72,220.15,3
8.9,2970,134.60,0.106000,370,9.6600e-10,2.300552e-04,4.690959e-05,255.00,196.80,221.53,3
9.0,3004,137.70,0.107000,363,9.8500e-10,2.839609e-04,4.650803e-05,255.00,198.00,223.11,11
9.1,3036,140.64,0.102000,375,9.6800e-10,3.457497e-04,4.624595e-05,255.00,198.91,224.41,9
9.2,3070,143.81,0.101000,380,9.6700e-10,3.165445e-04,4.615227e-05,255.00,199.66,225.65,7
9.3,3104,147.02,0.108000,363,9.9900e-10,2.325459e-04,4.591803e-05,255.00,200.96,227.31,6
9.4,3136,150.06,0.102000,379,9.7300e-10,2.533822e-04,4.554540e-05,255.00,202.06,228.63,3
9.5,3170,153.33,0.101000,375,9.6200e-10,3.302006e-04,4.525425e-05,255.00,202.88,229.41,9
9.6,3204,156.64,0.109000,349,9.5600e-10,3.244292e-04,4.515062e-05,255.00,203.48,230.08,6
9.7,3236,159.79,0.106000,359,9.9400e-10,2.462642e-04,4.498277e-05,255.00,204.38,230.66,3
9.8,3270,163.16,0.100000,374,9.7500e-10,2.321089e-04,4.463942e-05,255.00,205.29,231.20,11
9.9,3304,166.57,0.100000,361,9.5500e-10,3.110740e-04,4.433352e-05,255.00,206.08,231.67,13
10.0,3336,169.81,0.101000,346,9.7500e-10,3.296075e-04,4.419610e-05,255.00,206.77,232.17,7
