% ======================================================
% L-Bracket Method of Moments Solution
% ======================================================
% Frequency: 8.100 GHz
% Wavelength: 0.037012 m
% Segments: N=2702 (1351 horiz + 1351 vert)
% Transmitter: (25.0000, 25.0000) m
%
% Solver: SSOR with hierarchical omega
% omega = 0.1060
% iterations = 311
% convergence = 9.94e-10
% time = 186.19 seconds
% ======================================================
% Format: (real, imaginary) current coefficients
% ======================================================
(-7.13701102e-07,-1.13398031e-06)
(-3.30091525e-06,-3.73254772e-06)
(-5.66583831e-06,-6.22101567e-06)
(-8.00989571e-06,-8.69878820e-06)
(-1.03313380e-05,-1.11587994e-05)
(-1.26287243e-05,-1.35965518e-05)
(-1.48989062e-05,-1.60073756e-05)
(-1.71381462e-05,-1.83865894e-05)
(-1.93424630e-05,-2.07295424e-05)
(-2.15077846e-05,-2.30316392e-05)
(-2.36300248e-05,-2.52883555e-05)
(-2.57051263e-05,-2.74952513e-05)
(-2.77290889e-05,-2.96479805e-05)
(-2.96979890e-05,-3.17423018e-05)
(-3.16079947e-05,-3.37740864e-05)
(-3.34553779e-05,-3.57393276e-05)
(-3.52365252e-05,-3.76341484e-05)
(-3.69479469e-05,-3.94548094e-05)
(-3.85862855e-05,-4.11977165e-05)
(-4.01483237e-05,-4.28594277e-05)
(-4.16309911e-05,-4.44366602e-05)
(-4.30313714e-05,-4.59262967e-05)
(-4.43467084e-05,-4.73253920e-05)
(-4.55744116e-05,-4.86311784e-05)
(-4.67120621e-05,-4.98410712e-05)
(-4.77574172e-05,-5.09526740e-05)
(-4.87084153e-05,-5.19637835e-05)
(-4.95631798e-05,-5.28723936e-05)
(-5.03200233e-05,-5.36766995e-05)
(-5.09774509e-05,-5.43751013e-05)
(-5.15341634e-05,-5.49662073e-05)
(-5.19890594e-05,-5.54488364e-05)
(-5.23412383e-05,-5.58220207e-05)
(-5.25900017e-05,-5.60850077e-05)
(-5.27348549e-05,-5.62372611e-05)
(-5.27755081e-05,-5.62784628e-05)
(-5.27118767e-05,-5.62085125e-05)
