% ======================================================
% L-Bracket Method of Moments Solution
% ======================================================
% Frequency: 1.000 GHz
% Wavelength: 0.299796 m
% Segments: N=334 (167 horiz + 167 vert)
% Transmitter: (25.0000, 25.0000) m
%
% Solver: SSOR with hierarchical omega
% omega = 0.1000
% iterations = 382
% convergence = 9.95e-10
% time = 1.71 seconds
% ======================================================
% Format: (real, imaginary) current coefficients
% ======================================================
( 6.71217075e-06,-8.03218365e-06)
( 1.59506253e-05,-8.08726403e-06)
( 2.55200576e-05,-1.03093494e-05)
( 3.51123338e-05,-1.27251425e-05)
( 4.46675293e-05,-1.52321612e-05)
( 5.41496025e-05,-1.77716455e-05)
( 6.35318507e-05,-2.03144465e-05)
( 7.27913468e-05,-2.28426378e-05)
( 8.19071100e-05,-2.53436363e-05)
( 9.08593658e-05,-2.78077249e-05)
( 9.96292143e-05,-3.02268889e-05)
( 1.08198475e-04,-3.25942130e-05)
( 1.16549613e-04,-3.49035478e-05)
( 1.24665715e-04,-3.71493148e-05)
( 1.32530479e-04,-3.93263883e-05)
( 1.40128226e-04,-4.14300206e-05)
( 1.47443912e-04,-4.34557949e-05)
( 1.54463151e-04,-4.53995937e-05)
( 1.61172235e-04,-4.72575786e-05)
( 1.67558154e-04,-4.90261767e-05)
( 1.73608624e-04,-5.07020719e-05)
( 1.79312105e-04,-5.22821987e-05)
( 1.84657823e-04,-5.37637386e-05)
( 1.89635792e-04,-5.51441176e-05)
( 1.94236831e-04,-5.64210044e-05)
( 1.98452582e-04,-5.75923096e-05)
( 2.02275525e-04,-5.86561845e-05)
( 2.05698993e-04,-5.96110204e-05)
( 2.08717186e-04,-6.04554479e-05)
( 2.11325175e-04,-6.11883355e-05)
( 2.13518918e-04,-6.18087887e-05)
( 2.15295260e-04,-6.23161484e-05)
( 2.16651943e-04,-6.27099891e-05)
( 2.17587603e-04,-6.29901166e-05)
( 2.18101774e-04,-6.31565654e-05)
( 2.18194885e-04,-6.32095961e-05)
( 2.17868258e-04,-6.31496921e-05)
( 2.17124098e-04,-6.29775554e-05)
( 2.15965490e-04,-6.26941032e-05)
( 2.14396388e-04,-6.23004635e-05)
( 2.12421599e-04,-6.17979699e-05)
( 2.10046776e-04,-6.11881567e-05)
( 2.07278398e-04,-6.04727538e-05)
( 2.04123753e-04,-5.96536806e-05)
( 2.00590920e-04,-5.87330401e-05)
( 1.96688748e-04,-5.77131124e-05)
( 1.92426829e-04,-5.65963486e-05)
( 1.87815481e-04,-5.53853632e-05)
( 1.82865715e-04,-5.40829278e-05)
( 1.77589210e-04,-5.26919634e-05)
( 1.71998283e-04,-5.12155332e-05)
( 1.66105861e-04,-4.96568345e-05)
( 1.59925446e-04,-4.80191916e-05)
( 1.53471082e-04,-4.63060476e-05)
( 1.46757324e-04,-4.45209562e-05)
( 1.39799196e-04,-4.26675741e-05)
( 1.32612164e-04,-4.07496527e-05)
( 1.25212087e-04,-3.87710298e-05)
( 1.17615191e-04,-3.67356218e-05)
( 1.09838020e-04,-3.46474151e-05)
( 1.01897402e-04,-3.25104586e-05)
( 9.38104084e-05,-3.03288549e-05)
( 8.55943121e-05,-2.81067532e-05)
( 7.72665470e-05,-2.58483406e-05)
( 6.88446680e-05,-2.35578347e-05)
( 6.03463087e-05,-2.12394759e-05)
( 5.17891411e-05,-1.88975201e-05)
( 4.31908342e-05,-1.65362308e-05)
( 3.45690129e-05,-1.41598725e-05)
( 2.59412179e-05,-1.17727035e-05)
( 1.73248648e-05,-9.37896880e-06)
( 8.73720525e-06,-6.98289422e-06)
( 1.95286938e-07,-4.58867948e-06)
(-8.28408438e-06,-2.20049239e-06)
(-1.66843828e-05, 1.77537052e-07)
(-2.49893989e-05, 2.54132221e-06)
(-3.31832760e-05, 4.88682515e-06)
(-4.12505447e-05, 7.21006164e-06)
(-4.91761566e-05, 9.50710588e-06)
(-5.69455173e-05, 1.17740950e-05)
(-6.45445168e-05, 1.40072332e-05)
(-7.19595604e-05, 1.62027957e-05)
(-7.91775963e-05, 1.83571320e-05)
(-8.61861429e-05, 2.04666696e-05)
(-9.29733145e-05, 2.25279167e-05)
