% ======================================================
% L-Bracket Method of Moments Solution
% ======================================================
% Frequency: 1.600 GHz
% Wavelength: 0.187372 m
% Segments: N=534 (267 horiz + 267 vert)
% Transmitter: (25.0000, 25.0000) m
%
% Solver: SSOR with hierarchical omega
% omega = 0.1000
% iterations = 375
% convergence = 9.98e-10
% time = 4.81 seconds
% ======================================================
% Format: (real, imaginary) current coefficients
% ======================================================
( 5.46254922e-07,-1.60849616e-07)
( 4.51897808e-06, 8.76201581e-06)
( 7.99994991e-06, 1.62084385e-05)
( 1.14339006e-05, 2.35199826e-05)
( 1.48249850e-05, 3.07242010e-05)
( 1.81748594e-05, 3.78353864e-05)
( 2.14805608e-05, 4.48522414e-05)
( 2.47374721e-05, 5.17677524e-05)
( 2.79402608e-05, 5.85723102e-05)
( 3.10832800e-05, 6.52550484e-05)
( 3.41607671e-05, 7.18044884e-05)
( 3.71669517e-05, 7.82088870e-05)
( 4.00961216e-05, 8.44564417e-05)
( 4.29426672e-05, 9.05354228e-05)
( 4.57011131e-05, 9.64342636e-05)
( 4.83661429e-05, 1.02141628e-04)
( 5.09326186e-05, 1.07646461e-04)
( 5.33955983e-05, 1.12938032e-04)
( 5.57503501e-05, 1.18005972e-04)
( 5.79923656e-05, 1.22840302e-04)
( 6.01173718e-05, 1.27431462e-04)
( 6.21213414e-05, 1.31770337e-04)
( 6.40005029e-05, 1.35848279e-04)
( 6.57513492e-05, 1.39657127e-04)
( 6.73706458e-05, 1.43189228e-04)
( 6.88554380e-05, 1.46437454e-04)
( 7.02030574e-05, 1.49395217e-04)
( 7.14111279e-05, 1.52056487e-04)
( 7.24775702e-05, 1.54415803e-04)
( 7.34006064e-05, 1.56468288e-04)
( 7.41787636e-05, 1.58209656e-04)
( 7.48108767e-05, 1.59636227e-04)
( 7.52960901e-05, 1.60744931e-04)
( 7.56338596e-05, 1.61533317e-04)
( 7.58239525e-05, 1.61999561e-04)
( 7.58664480e-05, 1.62142467e-04)
( 7.57617357e-05, 1.61961474e-04)
( 7.55105148e-05, 1.61456656e-04)
( 7.51137912e-05, 1.60628723e-04)
( 7.45728748e-05, 1.59479021e-04)
