% ======================================================
% L-Bracket Method of Moments Solution
% ======================================================
% Frequency: 6.300 GHz
% Wavelength: 0.047587 m
% Segments: N=2102 (1051 horiz + 1051 vert)
% Transmitter: (25.0000, 25.0000) m
%
% Solver: SSOR with hierarchical omega
% omega = 0.1010
% iterations = 361
% convergence = 9.73e-10
% time = 111.84 seconds
% ======================================================
% Format: (real, imaginary) current coefficients
% ======================================================
( 1.54277179e-06,-6.03443448e-07)
( 4.87081265e-06,-2.97909831e-06)
( 8.08232513e-06,-5.13664561e-06)
( 1.12822989e-05,-7.27381817e-06)
( 1.44605286e-05,-9.38969481e-06)
( 1.76105868e-05,-1.14833309e-05)
( 2.07261645e-05,-1.35520309e-05)
( 2.38010624e-05,-1.55924808e-05)
( 2.68291823e-05,-1.76011088e-05)
( 2.98045289e-05,-1.95742404e-05)
( 3.27212180e-05,-2.15081758e-05)
( 3.55734853e-05,-2.33992343e-05)
( 3.83556960e-05,-2.52437816e-05)
( 4.10623555e-05,-2.70382495e-05)
( 4.36881191e-05,-2.87791500e-05)
( 4.62278024e-05,-3.04630872e-05)
( 4.86763908e-05,-3.20867674e-05)
( 5.10290496e-05,-3.36470078e-05)
( 5.32811330e-05,-3.51407442e-05)
( 5.54281932e-05,-3.65650383e-05)
( 5.74659890e-05,-3.79170845e-05)
( 5.93904941e-05,-3.91942158e-05)
( 6.11979052e-05,-4.03939095e-05)
( 6.28846489e-05,-4.15137931e-05)
( 6.44473891e-05,-4.25516486e-05)
( 6.58830334e-05,-4.35054176e-05)
( 6.71887391e-05,-4.43732054e-05)
( 6.83619190e-05,-4.51532850e-05)
( 6.94002462e-05,-4.58441006e-05)
( 7.03016587e-05,-4.64442706e-05)
( 7.10643637e-05,-4.69525911e-05)
( 7.16868410e-05,-4.73680375e-05)
( 7.21678457e-05,-4.76897673e-05)
( 7.25064112e-05,-4.79171217e-05)
( 7.27018507e-05,-4.80496269e-05)
( 7.27537587e-05,-4.80869952e-05)
( 7.26620119e-05,-4.80291257e-05)
( 7.24267693e-05,-4.78761043e-05)
( 7.20484722e-05,-4.76282041e-05)
( 7.15278430e-05,-4.72858848e-05)
( 7.08658841e-05,-4.68497915e-05)
( 7.00638757e-05,-4.63207541e-05)
( 6.91233737e-05,-4.56997853e-05)
( 6.80462062e-05,-4.49880790e-05)
( 6.68344706e-05,-4.41870078e-05)
( 6.54905286e-05,-4.32981206e-05)
( 6.40170026e-05,-4.23231393e-05)
( 6.24167699e-05,-4.12639560e-05)
( 6.06929574e-05,-4.01226288e-05)
( 5.88489352e-05,-3.89013783e-05)
( 5.68883106e-05,-3.76025830e-05)
( 5.48149203e-05,-3.62287748e-05)
( 5.26328236e-05,-3.47826340e-05)
( 5.03462941e-05,-3.32669842e-05)
( 4.79598112e-05,-3.16847869e-05)
( 4.54780519e-05,-3.00391354e-05)
( 4.29058810e-05,-2.83332490e-05)
( 4.02483421e-05,-2.65704667e-05)
( 3.75106473e-05,-2.47542407e-05)
( 3.46981673e-05,-2.28881295e-05)
( 3.18164210e-05,-2.09757912e-05)
( 2.88710640e-05,-1.90209759e-05)
( 2.58678784e-05,-1.70275188e-05)
( 2.28127609e-05,-1.49993324e-05)
( 1.97117114e-05,-1.29403991e-05)
( 1.65708211e-05,-1.08547630e-05)
( 1.33962610e-05,-8.74652209e-06)
( 1.01942690e-05,-6.61982036e-06)
( 6.97113835e-06,-4.47883946e-06)
( 3.73320511e-06,-2.32779052e-06)
( 4.86835492e-07,-1.70905837e-07)
(-2.76158646e-06, 1.98756946e-06)
(-6.00567147e-06, 4.14338579e-06)
(-9.23903762e-06, 6.29229753e-06)
(-1.24553229e-05, 8.43007140e-06)
(-1.56481976e-05, 1.05524948e-05)
(-1.88113770e-05, 1.26553842e-05)
(-2.19386336e-05, 1.47345934e-05)
(-2.50238094e-05, 1.67860217e-05)
(-2.80608281e-05, 1.88056221e-05)
(-3.10437071e-05, 2.07894093e-05)
(-3.39665689e-05, 2.27334676e-05)
(-3.68236535e-05, 2.46339586e-05)
(-3.96093291e-05, 2.64871292e-05)
(-4.23181033e-05, 2.82893184e-05)
(-4.49446342e-05, 3.00369652e-05)
(-4.74837409e-05, 3.17266155e-05)
(-4.99304137e-05, 3.33549287e-05)
(-5.22798239e-05, 3.49186849e-05)
(-5.45273335e-05, 3.64147909e-05)
(-5.66685044e-05, 3.78402865e-05)
(-5.86991072e-05, 3.91923505e-05)
(-6.06151293e-05, 4.04683062e-05)
(-6.24127834e-05, 4.16656271e-05)
(-6.40885147e-05, 4.27819414e-05)
(-6.56390078e-05, 4.38150374e-05)
(-6.70611938e-05, 4.47628674e-05)
(-6.83522560e-05, 4.56235522e-05)
(-6.95096356e-05, 4.63953847e-05)
(-7.05310369e-05, 4.70768336e-05)
(-7.14144320e-05, 4.76665462e-05)
(-7.21580646e-05, 4.81633511e-05)
(-7.27604537e-05, 4.85662612e-05)
(-7.32203966e-05, 4.88744749e-05)
(-7.35369713e-05, 4.90873785e-05)
(-7.37095386e-05, 4.92045468e-05)
(-7.37377429e-05, 4.92257448e-05)
(-7.36215137e-05, 4.91509275e-05)
(-7.33610652e-05, 4.89802404e-05)
(-7.29568962e-05, 4.87140194e-05)
(-7.24097894e-05, 4.83527899e-05)
(-7.17208094e-05, 4.78972661e-05)
(-7.08913012e-05, 4.73483493e-05)
(-6.99228873e-05, 4.67071266e-05)
(-6.88174647e-05, 4.59748684e-05)
(-6.75772011e-05, 4.51530264e-05)
(-6.62045306e-05, 4.42432303e-05)
(-6.47021495e-05, 4.32472847e-05)
(-6.30730103e-05, 4.21671659e-05)
(-6.13203163e-05, 4.10050177e-05)
(-5.94475154e-05, 3.97631474e-05)
(-5.74582930e-05, 3.84440209e-05)
(-5.53565651e-05, 3.70502583e-05)
(-5.31464705e-05, 3.55846284e-05)
(-5.08323624e-05, 3.40500436e-05)
(-4.84188005e-05, 3.24495535e-05)
(-4.59105411e-05, 3.07863397e-05)
(-4.33125284e-05, 2.90637086e-05)
(-4.06298846e-05, 2.72850858e-05)
(-3.78678997e-05, 2.54540086e-05)
(-3.50320209e-05, 2.35741191e-05)
(-3.21278424e-05, 2.16491574e-05)
(-2.91610936e-05, 1.96829537e-05)
(-2.61376284e-05, 1.76794209e-05)
(-2.30634133e-05, 1.56425468e-05)
(-1.99445155e-05, 1.35763863e-05)
(-1.67870913e-05, 1.14850530e-05)
(-1.35973735e-05, 9.37271142e-06)
(-1.03816592e-05, 7.24356855e-06)
(-7.14629732e-06, 5.10186541e-06)
(-3.89767618e-06, 2.95186871e-06)
(-6.42210495e-07, 7.97862339e-07)
( 2.61367112e-06,-1.35586119e-06)
( 5.86353895e-06,-3.50500925e-06)
( 9.10097496e-06,-5.64529766e-06)
( 1.23195855e-05,-7.77245922e-06)
( 1.55130142e-05,-9.88225224e-06)
( 1.86749541e-05,-1.19704689e-05)
( 2.17991609e-05,-1.40329438e-05)
( 2.48794647e-05,-1.60655620e-05)
( 2.79097826e-05,-1.80642675e-05)
( 3.08841310e-05,-2.00250711e-05)
( 3.37966368e-05,-2.19440586e-05)
( 3.66415500e-05,-2.38173983e-05)
( 3.94132543e-05,-2.56413489e-05)
( 4.21062789e-05,-2.74122667e-05)
( 4.47153090e-05,-2.91266131e-05)
( 4.72351967e-05,-3.07809616e-05)
( 4.96609708e-05,-3.23720046e-05)
( 5.19878474e-05,-3.38965598e-05)
( 5.42112385e-05,-3.53515769e-05)
( 5.63267621e-05,-3.67341437e-05)
( 5.83302502e-05,-3.80414912e-05)
( 6.02177576e-05,-3.92710001e-05)
( 6.19855694e-05,-4.04202053e-05)
( 6.36302087e-05,-4.14868013e-05)
( 6.51484433e-05,-4.24686462e-05)
( 6.65372923e-05,-4.33637668e-05)
( 6.77940319e-05,-4.41703616e-05)
( 6.89162011e-05,-4.48868051e-05)
( 6.99016063e-05,-4.55116508e-05)
( 7.07483259e-05,-4.60436340e-05)
( 7.14547139e-05,-4.64816743e-05)
( 7.20194036e-05,-4.68248780e-05)
( 7.24413098e-05,-4.70725395e-05)
( 7.27196314e-05,-4.72241433e-05)
( 7.28538527e-05,-4.72793641e-05)
( 7.28437446e-05,-4.72380684e-05)
( 7.26893651e-05,-4.71003142e-05)
( 7.23910589e-05,-4.68663510e-05)
( 7.19494571e-05,-4.65366193e-05)
( 7.13654758e-05,-4.61117499e-05)
( 7.06403138e-05,-4.55925623e-05)
( 6.97754512e-05,-4.49800634e-05)
( 6.87726454e-05,-4.42754452e-05)
( 6.76339283e-05,-4.34800828e-05)
( 6.63616019e-05,-4.25955311e-05)
( 6.49582338e-05,-4.16235224e-05)
( 6.34266521e-05,-4.05659624e-05)
( 6.17699398e-05,-3.94249266e-05)
( 5.99914283e-05,-3.82026563e-05)
( 5.80946912e-05,-3.69015539e-05)
( 5.60835369e-05,-3.55241783e-05)
( 5.39620012e-05,-3.40732398e-05)
( 5.17343388e-05,-3.25515946e-05)
( 4.94050154e-05,-3.09622394e-05)
( 4.69786983e-05,-2.93083052e-05)
( 4.44602473e-05,-2.75930510e-05)
( 4.18547050e-05,-2.58198576e-05)
( 3.91672865e-05,-2.39922210e-05)
( 3.64033695e-05,-2.21137450e-05)
( 3.35684829e-05,-2.01881344e-05)
( 3.06682962e-05,-1.82191876e-05)
( 2.77086083e-05,-1.62107892e-05)
( 2.46953353e-05,-1.41669020e-05)
( 2.16344996e-05,-1.20915594e-05)
( 1.85322169e-05,-9.98885746e-06)
( 1.53946848e-05,-7.86294653e-06)
( 1.22281701e-05,-5.71802334e-06)
( 9.03899618e-06,-3.55832257e-06)
( 5.83353065e-06,-1.38810850e-06)
( 2.61817256e-06, 7.88333399e-07)
(-6.00660391e-07, 2.96670494e-06)
(-3.81654461e-06, 5.14270368e-06)
(-7.02306340e-06, 7.31203140e-06)
(-1.02138198e-05, 9.47040259e-06)
(-1.33824491e-05, 1.16135529e-05)
(-1.65226318e-05, 1.37372476e-05)
(-1.96281062e-05, 1.58372897e-05)
(-2.26926804e-05, 1.79095284e-05)
(-2.57102452e-05, 1.99498675e-05)
(-2.86747858e-05, 2.19542726e-05)
(-3.15803940e-05, 2.39187802e-05)
(-3.44212798e-05, 2.58395044e-05)
